id,No,名前,国・地域,タグ,起点 〜 終点,距離,特徴,見どころ,物語スイッチ,ベストシーズン × 表情変化,到達後のご褒美,覚悟レベル,危険・制限,ChatGPT一言,Geminiの一言,ブー之助の一言
,236,大地溝帯遊牧路,ケニア,文化,草原,牧畜民の道,野生動物,★判断不可★,#文化,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,237,ナミブ砂漠古道,ナミビア,自然,沿岸,世界最古の砂漠,砂丘,★判断不可★,#自然,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,238,オッター・トレイル,南アフリカ,自然・海岸,ストームズ・リバー 〜 ネイチャーズ・バレー,インド洋の荒波と断崖絶壁を行く、世界一美しい海岸トレイルのひとつ。,波しぶき,春・秋,route=hiking name="Otter Trail",世界一の海岸美,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,239,喜望峰沿岸路,南アフリカ,歴史,ケープ半島,大洋の交差点,海岸断崖,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,240,ズールー王道,南アフリカ,歴史,内陸,王国軍事路,草原,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,241,マダガスカル高地道,マダガスカル,文化,高原,島独自文明,棚田,★判断不可★,#文化,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,242,バンディアガラ断崖道,マリ,文化,断崖沿い,ドゴン族,岩村,★判断不可★,#文化,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,243,カルタゴ古道,チュニジア,歴史,沿岸,地中海覇権,遺跡,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,244,リビア沿岸ローマ道,リビア,歴史,沿岸都市,帝国辺境,石道,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,245,紅海巡礼路,エジプト/サウジ,巡礼,港 〜 内陸,海と砂漠,港町,約100〜800km,#巡礼,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,246,ソコトラ島古道,イエメン,自然,島内,異世界植物,竜血樹,★判断不可★,#自然,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,247,ザンジバル香辛料道,タンザニア,交易,島内,香辛料農園,石の町,★判断不可★,#交易,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,248,ニジェール河舟行路,西アフリカ,交易,河沿い,川の街道,舟市,★判断不可★,#交易,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,249,コンゴ熱帯交易路,中央アフリカ,交易,森林,密林交易,大河,★判断不可★,#交易,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分
,250,喜望峰〜内陸探検路,南アフリカ,探検,沿岸〜内陸,探検時代の道,草原と山,★判断不可★,★判断不可★,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
